Ano,OBJETO.1,OBJETO.2,VALORES PREVISTOS,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
2013,INVESTIMENTO,,"R$ 10050000,00",R$ 0,R$ 0,R$ 0,R$ 28259,R$ 5762,R$ 0,"R$ 95487,31","R$ 197431,56",R$ 0,"R$ 144242,36","R$ 60231,26","R$ 2438621,7","R$ 2970035,19"
2013,01,Aposentadorias,"R$ 24972000,00","R$ 1562012,1","R$ 1778278,21","R$ 1612172,08","R$ 1821757,87","R$ 1743006,05","R$ 1738115,95","R$ 1763221,64","R$ 1763697,14",R$ 1760324,"R$ 1771654,57","R$ 1715667,45","R$ 4017506,02","R$ 23047413,08"
2013,61,Aquisição de Imóveis,"R$ 500000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2013,46,Auxílio alimentação,"R$ 9500000,00","R$ 725836,21","R$ 723218,09","R$ 722890,84","R$ 720872,63","R$ 716345,34","R$ 721090,81","R$ 708545,36","R$ 716508,95","R$ 728027,11","R$ 699545,31","R$ 710618,03","R$ 709581,77","R$ 8603080,45"
2013,42,Auxílios,"R$ 50000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2013,04,Contratação por tempo determinado,"R$ 470000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 29405,7","R$ 21540,56","R$ 35074,26","R$ 38262,84","R$ 38262,84","R$ 162546,20"
2013,41,Contribuições,"R$ 1050000,00",R$ 0,R$ 0,R$ 0,R$ 140000,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 459416,06",R$ 0,"R$ 599416,06"
2013,92,Despesas de exercícios anteriores,"R$ 121303,99",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 4500,R$ 0,"R$ 59077,88","R$ 18107,29","R$ 5106,8","R$ 25319,12","R$ 112111,09"
2013,14,Diárias,"R$ 610000,00","R$ 19609,25","R$ 26783,18","R$ 25884,11","R$ 64337,36","R$ 36731,6","R$ 70236,99","R$ 32143,52","R$ 67287,36","R$ 105777,66","R$ 76919,81","R$ 42613,57","R$ 27334,67","R$ 595659,08"
2013,52,Equipamento e material permanente,"R$ 3750000,00",R$ 0,R$ 0,R$ 0,R$ 28259,R$ 5762,R$ 0,R$ 0,R$ 33684,R$ 0,"R$ 4611,49","R$ 60231,26","R$ 2057439,86","R$ 2189987,61"
2013,93,Indenizações e restituições,"R$ 20430000,00","R$ 1276226,52","R$ 1640484,81","R$ 552861,33","R$ 1138149,4","R$ 1168993,03","R$ 1211884,31","R$ 1158331,52","R$ 1357561,95","R$ 1084426,24","R$ 3046400,67","R$ 2905909,02","R$ 9002616,43","R$ 25543845,23"
2013,37,Locação de mão-de-obra,"R$ 900000,00",R$ 0,"R$ 59401,79","R$ 63194,21","R$ 56561,44","R$ 56561,44","R$ 70771,12","R$ 85456,1","R$ 81160,72","R$ 76424,16","R$ 70816,49","R$ 82031,83",R$ 0,"R$ 702379,30"
2013,30,Material de consumo,"R$ 1962000,00",R$ 4000,"R$ 1945,5",R$ 0,"R$ 125163,39","R$ 121925,72",R$ 8291,"R$ 142784,38","R$ 9209,58","R$ 56635,31","R$ 55178,49","R$ 63515,13","R$ 150534,31","R$ 739182,81"
2013,"32Material,","Material, Bem ou Serv.Dist.Gratuita","R$ 20000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2013,51,Obras e Instalações,"R$ 5750000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 95487,31","R$ 163747,56",R$ 0,"R$ 139630,87",R$ 0,"R$ 381181,84","R$ 780047,58"
2013,13,Obrigações Patronais,"R$ 436000,00",R$ 0,"R$ 30648,49","R$ 38695,11","R$ 29145,02","R$ 33204,39","R$ 32357,94","R$ 34131,19","R$ 32475,79","R$ 40152,81","R$ 36060,01","R$ 38732,43","R$ 117136,69","R$ 462739,87"
2013,47,Obrigações Tributárias,"R$ 237000,00",R$ 0,R$ 0,R$ 0,"R$ 13,79","R$ 129,34",R$ 0,R$ 0,R$ 0,R$ 0,"R$ 20,27",R$ 0,"R$ 598,44","R$ 761,84"
2013,OUTRAS,OUTRAS DESPESAS CORRENTES,"R$ 26702875,99","R$ 905232,71","R$ 943993,89","R$ 1077637,84","R$ 1729777,51","R$ 1374560,6","R$ 1212110,15","R$ 1464585,47","R$ 1320885,91","R$ 1157777,66","R$ 1550484,31","R$ 1800056,27","R$ 1495124,44","R$ 16032226,76"
2013,16,Outras despesas variáveis,"R$ 10000,00","R$ 1850,55","R$ 321891,01","R$ 320476,32","R$ 312434,45","R$ 322886,19","R$ 312014,05","R$ 350108,3",R$ 320558,"R$ 294505,23","R$ 310413,88","R$ 321784,08","R$ 286637,36","R$ 3475559,42"
2013,08,Outros Benefícios Assistenciais,"R$ 1050000,00",R$ 0,R$ 0,R$ 0,R$ 0,"R$ 18019,96",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 18019,96"
2013,05,Outros benefícios previdenciários,"R$ 1000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2013,39,Outros Serv.Terc.P.Jurídica,"R$ 36000,00",R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,R$ 0,"R$ 0,00"
2013,39,Outros Serviços de Terc. PJ,"R$ 10425500,00","R$ 132019,39",R$ 52375,"R$ 263613,27","R$ 538568,55","R$ 290957,84","R$ 289160,17","R$ 320495,39","R$ 326547,64","R$ 128578,34","R$ 543838,25","R$ 366154,8","R$ 393655,66","R$ 3645964,30"
2013,36,Outros Serviços de Terc.P.Física,"R$ 135000,00",R$ 0,"R$ 4796,87","R$ 1355,41","R$ 3632,81","R$ 3076,14","R$ 3076,14","R$ 3076,14",R$ 4140,R$ 4140,R$ 4140,R$ 4140,R$ 5340,"R$ 40913,51"
